?,Designator,Footprint,Component,JLCPCB Part #
 ,B1,SM,BATT,C47647
10uF,"C1,C8,C25,C29,C31,C33,C37",SM0603,,C1691
100uF,C2,1206,,C15008
100uF,C4,1206,,C15008
.1uF,C5,EIA_0402,,C1525
1uF,C6,EIA_0402,,C14445
1uF,C7,EIA_0402,,C14445
.1uF,C10,EIA_0402,,C1525
.1uF,C12,EIA_0402,,C1525
.1uF,C13,EIA_0402,,C1525
1uF,C14,EIA_0402,,C14445
0.1uF,C15,EIA_0402,,C100072
1nF,C16,EIA_0402,,C14442
1uF,C17,EIA_0402,,C14445
1uF,C18,EIA_0402,,C14445
1uF,C19,EIA_0402,,C14445
18pF,C20,402,,C307443
1uF,C21,EIA_0402,,C14445
1uF,C22,EIA_0402,,C14445
18pF,C23,402,,C307443
.1uF,C24,EIA_0402,,C1525
1uF,C27,EIA_0402,,C14445
.1uF,C28,EIA_0402,,C1525
0.01uF,C30,EIA_0402,,C318576
2.2uF,C32,EIA_0402,,C307418
2.2uF,C35,EIA_0402,,C307418
2.2uF,C36,EIA_0402,,C307418
2.2uF,C38,EIA_0402,,C307418
2.2uF,C39,EIA_0402,,C307418
2.2uF,C40,EIA_0402,,C307418
,CONN1,MISC,,C22467599
BLUE LED,D1,SM,,C84266
,D2,SM,,C840093
,D3,SM,,C840093
,D4,SM,,C840093
,D5,SM,,C840093
,D6,SM,,C840093
,D7,SM,,C840093
3v zener,"D8,D9,D10",SM,,C3013401
,PL1,DSC,,C725885
2.2K,R1,SM,,C12001
2.2K,R2,SM,,C12001
2.2K,R3,SM,,C12001
2.2K,R4,SM,,C12001
1M,R5,402,,C22369183
2.2K,R6,SM,,C12001
470K,R7,402,,C25562
1K,R8,402,,C11702
470K,R9,402,,C25562
10k,R10,402,,C22356213
470K,R11,402,,C177264
SW,"SW1, SW3",,,C221896
,U1,LGA,,C15134
,U2,SM,,C7840
,U3,SOT-23-6,,C840095
,U4,SOT23-5,,C19619
,U5,SM,,C80670
,U6,TQFP-64,,C2877187
,U7,SSOP,,C1337166
,VR1,SM,,C69932
8MHz,X1,SM,,C431529
